Clubname;Country
1. FC Köln;Germany
1. FC Nürnberg;Germany
1. FSV Mainz 05;Germany
TSV 1860 München;Germany
Aalborg BK;Denmark
Aarhus GF;Denmark
Aberdeen;Scotland
AC Ajaccio;France
AC Horsens;Denmark
Accrington Stanley;England
AD Alcorcón;Spain
Adelaide United;Australia
ADO Den Haag;Netherlands
AEK Athens;Greece
AFC Wimbledon;England
AIK;Sweden
AJ Auxerre;France
Ajax;Netherlands
Akhisar Belediyespor;Turkey
Al Ahli;Saudi Arabia
Al Batin;Saudi Arabia
Al Faisaly;Saudi Arabia
Al Fateh;Saudi Arabia
Al Fayha;Saudi Arabia
Al Hazem;Saudi Arabia
Al Hilal;Saudi Arabia
Al Ittihad;Saudi Arabia
Al Nassr;Saudi Arabia
Al Qadisiyah;Saudi Arabia
Al Raed;Saudi Arabia
Al Shabab;Saudi Arabia
Al Taawoun;Saudi Arabia
Al Wehda;Saudi Arabia
Alianza Petrolera;Colombia
Alanyaspor;Turkey
Albacete BP;Spain
Club Atlético Aldosivi;Argentina
América FC (Minas Gerais);Brazil
Club América;Mexico
América de Cali;Colombia
Amiens SC;France
Angers SCO;France
Antalyaspor;Turkey
Argentinos Juniors;Argentina
Arka Gdynia;Poland
Arsenal;England
AS Béziers;France
AS Monaco;France
AS Saint-Étienne;France
Ascoli;Italy
Aston Villa;England
Atalanta;Italy
Athletic Club de Bilbao;Spain
Atlético Bucaramanga;Colombia
Atlético Nacional;Colombia
Atlético Paranaense;Brazil
Atlanta United;USA Canada
Club Atlas;Mexico
Atlético Huila;Colombia
Atlético Madrid;Spain
Atlético Mineiro;Brazil
Atlético Tucumán;Argentina
Audax Italiano;Chile
FC Erzgebirge Aue;Germany
AZ Alkmaar;Netherlands
Bahia;Brazil
Club Atlético Banfield;Argentina
Barnsley;England
Bayer 04 Leverkusen;Germany
BB Erzurumspor;Turkey
Beijing Renhe FC;China
Beijing Sinobo Guoan FC;China
Os Belenenses;Portugal
Belgrano de Córdoba;Argentina
Benevento;Italy
Beşiktaş JK;Turkey
DSC Arminia Bielefeld;Germany
Birmingham City;England
BK Häcken;Sweden
Blackburn Rovers;England
Blackpool;England
Boavista FC;Portugal
VfL Bochum 1848;Germany
Bohemian FC;Ireland
Bologna;Italy
Bolton Wanderers;England
Borussia Dortmund;Germany
Borussia Mönchengladbach;Germany
Botafogo;Brazil
Bournemouth;England
Boyacá Chicó FC;Colombia
Bradford City;England
Eintracht Braunschweig;Germany
Bray Wanderers;Ireland
Brentford;England
Brescia;Italy
Brighton & Hove Albion;England
Brisbane Roar;Australia
Bristol City;England
Bristol Rovers;England
IF Brommapojkarna;Sweden
Brøndby IF;Denmark
BSC Young Boys;Switzerland
Boca Juniors;Argentina
Burnley;England
Bursaspor;Turkey
Burton Albion;England
Bury;England
CA Osasuna;Spain
Cádiz CF;Spain
Cagliari;Italy
Cambridge United;England
Cardiff City;England
FC Carl Zeiss Jena;Germany
Carlisle United;England
Carpi;Italy
Çaykur Rizespor;Turkey
CD Antofagasta;Chile
CD Feirense;Portugal
CD Huachipato;Chile
CD Leganés;Spain
CD Lugo;Spain
CD Numancia;Spain
CD O'Higgins;Chile
CD Palestino;Chile
CD Tenerife;Spain
CD Tondela;Portugal
CD Viñazur;Chile
Ceará Sporting Club;Brazil
Celtic;Scotland
Central Coast Mariners;Australia
KSV Cercle Brugge;Belgium
Cerezo Osaka;Japan
CF Rayo Majadahonda;Spain
CF Reus Deportiu;Spain
Chamois Niortais Football Club;France
Changchun Yatai FC;China
Chapecoense;Brazil
Charlton Athletic;England
Chelsea;England
Cheltenham Town;England
Chicago Fire;USA Canada
Chievo Verona;Italy
Chongqing Dangdai Lifan FC SWM Team;China
Cittadella;Italy
Clermont Foot 63;France
Club Brugge KV;Belgium
Colchester United;England
Club Atlético Colón;Argentina
Colorado Rapids;USA Canada
Columbus Crew SC;USA Canada
Córdoba CF;Spain
Cork City;Ireland
Cosenza;Italy
Coventry City;England
Cracovia;Poland
Crawley Town;England
US Cremonese;Italy
Crewe Alexandra;England
Crotone;Italy
Cruz Azul;Mexico
Cruzeiro;Brazil
Crystal Palace;England
Curicó Unido;Chile
DC United;USA Canada
Daegu FC;Korea Republic
Dalian YiFang FC;China
Dalkurd FF;Sweden
SV Darmstadt 98;Germany
De Graafschap;Netherlands
Defensa y Justicia;Argentina
Deportes Iquique;Chile
Club Deportes Temuco;Chile
Deportes Tolima;Colombia
Deportivo Alavés;Spain
Deportivo Cali;Colombia
Deportivo Pasto;Colombia
Derby County;England
Derry City;Ireland
CD Aves;Portugal
Dijon FCO;France
Dinamo Zagreb;Croatia
Djurgårdens IF;Sweden
Doncaster Rovers;England
SG Dynamo Dresden;Germany
MSV Duisburg;Germany
Dundalk;Ireland
Dundee FC;Scotland
Fortuna Düsseldorf;Germany
Dynamo Kyiv;Ukraine
En Avant de Guingamp;France
Eintracht Frankfurt;Germany
Elche CF;Spain
Empoli;Italy
FC Energie Cottbus;Germany
Envigado FC;Colombia
Esbjerg fB;Denmark
ESTAC Troyes;France
Estudiantes de La Plata;Argentina
Ettifaq FC;Saudi Arabia
Everton;England
CD Everton de Viña del Mar;Chile
Royal Excel Mouscron;Belgium
Excelsior;Netherlands
Exeter City;England
Extremadura UD;Spain
FC Tokyo;Japan
FC Admira Wacker Mödling;Austria
FC Augsburg;Germany
FC Barcelona;Spain
FC Basel 1893;Switzerland
FC Bayern München;Germany
FC Dallas;USA Canada
FC Emmen;Netherlands
FC Girondins de Bordeaux;France
FC Groningen;Netherlands
FC København;Denmark
FC Lorient;France
FC Lugano;Switzerland
FC Luzern;Switzerland
FC Metz;France
FC Midtjylland;Denmark
FC Nantes;France
FC Nordsjælland;Denmark
FC Porto;Portugal
FC Red Bull Salzburg;Austria
FC Schalke 04;Germany
FC Seoul;Korea Republic
FC Sion;Switzerland
FC St. Gallen;Switzerland
FC Thun;Switzerland
FC Utrecht;Netherlands
FC Zürich;Switzerland
FC Sochaux-Montbéliard;France
Fenerbahçe SK;Turkey
Feyenoord;Netherlands
Fiorentina;Italy
FK Bodø/Glimt;Norway
FK Haugesund;Norway
FK Austria Wien;Austria
Fleetwood Town;England
Fluminense;Brazil
Foggia;Italy
Forest Green Rovers;England
SC Fortuna Köln;Germany
Fortuna Sittard;Netherlands
Frosinone;Italy
FSV Zwickau;Germany
Fulham;England
Funchal;Portugal
SpVgg Greuther Fürth;Germany
Galatasaray SK;Turkey
Gamba Osaka;Japan
Gangwon FC;Korea Republic
GFC Ajaccio;France
GD Chaves;Portugal
Genoa;Italy
Getafe CF;Spain
GIF Sundsvall;Sweden
Gillingham;England
Gimnasia y Esgrima La Plata;Argentina
Girona FC;Spain
Godoy Cruz;Argentina
Górnik Zabrze;Poland
Göztepe SK;Turkey
Granada CF;Spain
Grasshopper Club Zürich;Switzerland
Grêmio;Brazil
Grenoble Foot 38;France
Grimsby Town;England
Guadalajara;Mexico
Guangzhou Evergrande Taobao FC;China
Guangzhou R&F FC;China
Guizhou Hengfeng FC;China
Gyeongnam FC;Korea Republic
Hokkaido Consadole Sapporo;Japan
Hallescher FC;Germany
Hamburger SV;Germany
Hamilton Academical FC;Scotland
Hammarby IF;Sweden
Hannover 96;Germany
FC Hansa Rostock;Germany
Le Havre AC;France
Heart of Midlothian;Scotland
Hebei China Fortune FC;China
1. FC Heidenheim 1846;Germany
Hellas Verona;Italy
Henan Jianye FC;China
Heracles Almelo;Netherlands
Hertha BSC;Germany
Hibernian;Scotland
HJK Helsinki;Finland
Hobro IK;Denmark
Houston Dynamo;USA Canada
Huddersfield Town;England
Hull City;England
Club Atlético Huracán;Argentina
IF Elfsborg;Sweden
IFK Göteborg;Sweden
IFK Norrköping;Sweden
IK Sirius;Sweden
IK Start;Norway
Montreal Impact;USA Canada
Incheon United FC;Korea Republic
Independiente Santa Fe;Colombia
Independiente Medellín;Colombia
Independiente;Argentina
FC Ingolstadt 04;Germany
FC Wacker Innsbruck;Austria
Inter;Italy
Internacional;Brazil
Ipswich Town;England
Jagiellonia Białystok;Poland
Jaguares de Córdoba;Colombia
Jeju United FC;Korea Republic
Jeonbuk Hyundai Motors;Korea Republic
Jeonnam Dragons;Korea Republic
Jiangsu Suning FC;China
Júbilo Iwata;Japan
Junior FC;Colombia
Juventus;Italy
KAA Gent;Belgium
1. FC Kaiserslautern;Germany
Kaizer Chiefs;South Africa
Kalmar FF;Sweden
Karlsruher SC;Germany
KAS Eupen;Belgium
Kashima Antlers;Japan
Kashiwa Reysol;Japan
Kasimpaşa SK;Turkey
Kawasaki Frontale;Japan
Kayserispor;Turkey
KFC Uerdingen 05;Germany
Holstein Kiel;Germany
Kilmarnock;Scotland
Atiker Konyaspor;Turkey
Korona Kielce;Poland
KRC Genk;Belgium
Kristiansund BK;Norway
KV Kortrijk;Belgium
KV Oostende;Belgium
La Berrichonne de Châteauroux;France
La Equidad;Colombia
LA Galaxy;USA Canada
Spezia;Italy
Club Atlético Lanús;Argentina
LASK Linz;Austria
Lazio;Italy
Lecce;Italy
Lech Poznań;Poland
Lechia Gdańsk;Poland
Leeds United;England
Legia Warszawa;Poland
Leicester City;England
Club León;Mexico
Itagüí Leones FC;Colombia
Levante UD;Spain
Lillestrøm SK;Norway
Limerick FC;Ireland
Lincoln City;England
Liverpool;England
Livingston FC;Scotland
Livorno;Italy
Lobos BUAP;Mexico
Lokomotiv Moscow;Rusia
Los Angeles FC;USA Canada
LOSC Lille;France
Luton Town;England
Macclesfield Town;England
1. FC Magdeburg;Germany
Málaga CF;Spain
Malmö FF;Sweden
Manchester City;England
Manchester United;England
Mansfield Town;England
Clube Sport Marítimo;Portugal
Medipol Başakşehir FK;Turkey
Melbourne City FC;Australia
Melbourne Victory;Australia
Middlesbrough;England
Miedź Legnica;Poland
Milan;Italy
Millonarios FC;Colombia
Millwall;England
Minnesota United FC;USA Canada
Milton Keynes Dons;England
MKE Ankaragücü;Turkey
Molde FK;Norway
Monarcas Morelia;Mexico
Monterrey;Mexico
Montpellier HSC;France
Morecambe;England
Moreirense FC;Portugal
Motherwell;Scotland
NAC Breda;Netherlands
Nagoya Grampus;Japan
AS Nancy Lorraine;France
Napoli;Italy
Nàstic;Spain
Club Necaxa;Mexico
Neuchâtel Xamax;Switzerland
New England Revolution;USA Canada
New York City FC;USA Canada
Newcastle Jets;Australia
Newcastle United;England
Newell's Old Boys;Argentina
Newport County;England
Nîmes Olympique;France
Northampton Town;England
Norwich City;England
Nottingham Forest;England
Notts County;England
New York Red Bulls;USA Canada
Odds BK;Norway
Odense Boldklub;Denmark
OGC Nice;France
Ohod Club;Saudi Arabia
Oldham Athletic;England
Olympiacos CFP;Greece
Olympique de Marseille;France
Olympique Lyonnais;France
Once Caldas;Colombia
Örebro SK;Sweden
Orlando City SC;USA Canada
Orlando Pirates;South Africa
Östersunds FK;Sweden
Oxford United;England
Pachuca;Mexico
SC Paderborn 07;Germany
Padova;Italy
Palermo;Italy
Panathinaikos FC;Greece
PAOK;Greece
Paraná;Brazil
Paris FC;France
Paris Saint-Germain;France
Parma;Italy
Patriotas Boyacá FC;Colombia
Patronato;Argentina
PEC Zwolle;Netherlands
Perth Glory;Australia
Perugia;Italy
Pescara;Italy
Peterborough United;England
PFC CSKA Moscow;Russia
Philadelphia Union;USA Canada
Piast Gliwice;Poland
Plymouth Argyle;England
Pogoń Szczecin;Poland
Pohang Steelers;Korea Republic
Port Vale;England
Portimonense SC;Portugal
Portland Timbers;USA Canada
Portsmouth;England
Preston North End;England
SC Preußen Münster;Germany
PSV;Netherlands
Puebla FC;Mexico
Queens Park Rangers;England
Querétaro;Mexico
Real Oviedo;Spain
Real Sporting de Gijón;Spain
Real Valladolid CF;Spain
Real Zaragoza;Spain
Racing Club;Argentina
Randers FC;Denmark
Rangers FC;Scotland
Ranheim Fotball;Norway
Rayo Vallecano;Spain
RB Leipzig;Germany
RC Celta;Spain
Deportivo de La Coruña;Spain
Racing Club de Lens;France
RC Strasbourg Alsace;France
RCD Espanyol;Spain
RCD Mallorca;Spain
Reading;England
Real Betis;Spain
Real Madrid;Spain
Real Salt Lake;USA Canada
Real Sociedad;Spain
Red Star FC;France
 SSV Jahn Regensburg;Germany
Rio Ave FC;Portugal
Rionegro Águilas;Colombia
River Plate;Argentina
Rochdale;England
Roma;Italy
Rosario Central;Argentina
Rosenborg BK;Norway
Rotherham United;England
Royal Antwerp FC;Belgium
RSC Anderlecht;Belgium
SG Sonnenhof Großaspach;Germany
Sagan Tosu;Japan
US Salernitana 1919;Italy
Sampdoria;Italy
San Lorenzo de Almagro;Argentina
San Luis de Quillota;Chile
San Martín de San Juan;Argentina
Sandefjord Fotball;Norway
SV Sandhausen;Germany
Sangju Sangmu FC;Korea Republic
Santa Clara;Portugal
Santos;Brazil
Santos Laguna;Mexico
Sarpsborg 08 FF;Norway
Sassuolo;Italy
SC Braga;Portugal
SC Freiburg;Germany
SC Heerenveen;Netherlands
SCR Altach;Austria
Scunthorpe United;England
SD Eibar;Spain
SD Huesca;Spain
Seattle Sounders FC;USA Canada
Sevilla FC;Spain
Shakhtar Donetsk;Ukraine
Shamrock Rovers;Ireland
Shandong Luneng TaiShan FC;China
Shanghai Greenland Shenhua FC;China
Shanghai SIPG FC;China
Sheffield United;England
Sheffield Wednesday;England
Shimizu S-Pulse;Japan
Sanfrecce Hiroshima;Japan
Shonan Bellmare;Japan
Shrewsbury;England
Sint-Truidense VV;Belgium
Sivasspor;Turkey
San Jose Earthquakes;USA Canada
SK Brann;Norway
SK Rapid Wien;Austria
SK Sturm Graz;Austria
SKN St. Pölten;Austria
SL Benfica;Portugal
Śląsk Wrocław;Poland
SK Slavia Praha;Czech Republic
Sligo Rovers;Ireland
San Martin de Tucumán;Argentina
Stade Malherbe Caen;France
SønderjyskE;Denmark
Southampton;England
Southend United;England
Sporting de Charleroi;Belgium
SPAL;Italy
Sparta Praha;Czech Republic
Spartak Moscow;Russia
Sport Club do Recife;Brazil
Sporting Lokeren;Belgium
VfL Sportfreunde Lotte;Germany
Sporting CP;Portugal
Sporting Kansas City;USA Canada
St. Johnstone FC;Scotland
St. Mirren;Scotland
St. Patrick's Athletic;Ireland
FC St. Pauli;Germany
Stabæk Fotball;Norway
Stade Brestois 29;France
Stade de Reims;France
Stade Rennais FC;France
Standard de Liège;Belgium
Stevenage;England
Stoke City;England
Strømsgodset IF;Norway
Sunderland;England
Suwon Samsung Bluewings;Korea Republic
SV Mattersburg;Austria
SV Meppen;Germany
SV Wehen Wiesbaden;Germany
SV Werder Bremen;Germany
Swansea City;England
Swindon Town;England
Sydney FC;Australia
Club Atlético Talleres;Argentina
Tianjin Quanjian FC;China
Tianjin TEDA FC;China
Club Atlético Tigre;Argentina
Tigres U.A.N.L.;Mexico
Club Tijuana;Mexico
Deportivo Toluca;Mexico
Torino;Italy
Toronto FC;USA Canada
Tottenham Hotspur;England
Toulouse Football Club;France
Trabzonspor;Turkey
Tranmere Rovers;England
Trelleborgs FF;Sweden
Tromsø IL;Norway
TSG 1899 Hoffenheim;Germany
TSV Hartberg;Austria
U.N.A.M.;Mexico
UD Almería;Spain
UD Las Palmas;Spain
Udinese;Italy
Ulsan Hyundai FC;Korea Republic
Universidad Católica;Chile
CD Universidad de Concepción;Chile
Universidad de Chile;Chile
Unión de Santa Fe;Argentina
1. FC Union Berlin;Germany
Unión Española;Chile
Unión La Calera;Chile
SpVgg Unterhaching;Germany
Urawa Red Diamonds;Japan
US Orléans Loiret Football;France
Vitória Guimarães;Portugal
Vitória de Setúbal;Portugal
Valencia CF;Spain
Valenciennes FC;France
Vålerenga Fotball;Norway
Vegalta Sendai;Japan
Vejle Boldklub;Denmark
Vélez Sarsfield;Argentina
Vendsyssel FF;Denmark
Venezia FC;Italy
Tiburones Rojos de Veracruz;Mexico
VfB Stuttgart;Germany
VfL Osnabrück;Germany
VfL Wolfsburg;Germany
VfR Aalen;Germany
Viktoria Plzeň;Czech Republic
Villarreal CF;Spain
Vissel Kobe;Japan
Vitesse;Netherlands
Vitória;Brazil
V-Varen Nagasaki;Japan
VVV-Venlo;Netherlands
Waasland-Beveren;Belgium
Walsall;England
Waterford FC;Ireland
Watford;England
Wellington Phoenix;Australia
West Bromwich Albion;England
West Ham United;England
Vancouver Whitecaps FC;USA Canada
Wigan Athletic;England
Willem II;Netherlands
Wisła Kraków;Poland
Wisła Płock;Poland
Wolfsberger AC;Austria
Wolverhampton Wanderers;England
Western Sydney Wanderers;Australia
FC Würzburger Kickers;Germany
Wycombe Wanderers;England
Yeni Malatyaspor;Turkey
Yeovil Town;England
Yokohama F. Marinos;Japan
Zagłębie Sosnowiec;Poland
Zagłębie Lubin;Poland
SV Zulte-Waregem;Belgium
Colo-Colo;Chile
Gimnàstic de Tarragona;Spain
CD Nacional;Portugal